IDtimetable,coursecode,IDprogramme,coursegrps,numbstudents,stdlevel,IDroom,roomname,examPERIOD,examDATE
4487,EIN427,B. ED. ( BASIC EDUCATION),NULL,87,400,33,ASSEMBLY HALL,15:30PM - 17:30PM,16-May-2013
4488,MLT430A,BSC. ( MEDLAB),NULL,24,400,33,ASSEMBLY HALL,15:30PM - 17:30PM,24-May-2013
4489,AFS426,B. A. ( AFRICAN STUDIES),NULL,25,400,53,LECTURE THEATER,12NOON - 14:00PM,20-May-2013
4490,ESC401,B. ED. ( SCIENCE),NULL,42,400,33,ASSEMBLY HALL,15:30PM - 17:30PM,21-May-2013
4491,NUR421,BSC. ( NURSING),NULL,143,400,32,"LARGE LECTURE THEATER ",15:30PM - 17:30PM,17-May-2013
4492,EMA406,B. ED. ( MATHS),NULL,50,400,46,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,16-May-2013
4493,AFS410,B. A. ( AFRICAN STUDIES),NULL,10,400,36,CAFETERIA ROOF TOP,12NOON - 14:00PM,16-May-2013
4494,FAS417,BSC ( FISHERIES AND AQUA. SCI.),NULL,18,400,33,ASSEMBLY HALL,15:30PM - 17:30PM,24-May-2013
4495,AAS406N,BSC. ( AGRIC),NULL,29,400,31,LECTURE THEATER,08:30AM - 10:30AM,15-May-2013
4496,LIN407,B. A. ( ARTS),NULL,28,400,28,LECTURE THEATER,12NOON - 14:00PM,20-May-2013
4497,EIN147,B. ED. ( BASIC EDUCATION),NULL,87,400,32,"LARGE LECTURE THEATER ",15:30PM - 17:30PM,17-May-2013
4498,LIN408,B. A. ( ARTS),NULL,22,400,53,LECTURE THEATER,08:30AM - 10:30AM,24-May-2013
4499,HUB406,BSC ( HUMAN BIOLOGY),NULL,66,400,50,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,14-May-2013
4500,ESS402,B. ED. ( SOC. STD.),NULL,72,400,32,"LARGE LECTURE THEATER ",15:30PM - 17:30PM,17-May-2013
4501,EBS414,B. ED. ( BASIC. ED.),NULL,51,400,47,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,22-May-2013
4502,EHS427,B. ED. ( HEALTH SCIENCES),NULL,82,400,35,ASSEMBLY HALL,15:30PM - 17:30PM,14-May-2013
4503,EPH464,B. ED. ( HPER),NULL,28,400,28,LECTURE THEATER,08:30AM - 10:30AM,20-May-2013
4504,EPH463,B. ED. ( HPER),NULL,45,400,45,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,13-May-2013
4505,ESS406,B. ED. ( SOC. STD.),NULL,72,400,42,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,23-May-2013
4506,BCH402,B.SC. ( BIOCHEMISTRY),NULL,30,400,36,CAFETERIA ROOF TOP,12NOON - 14:00PM,20-May-2013
4507,COM404,B. COM.,NULL,196,400,47,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,23-May-2013
4508,MBB408,BSC ( MOL. BIO. AND BIOTECH.),NULL,79,400,33,ASSEMBLY HALL,08:30AM - 10:30AM,21-May-2013
4509,AEX404N,BSC. ( AGRIC. EXTENSION ),NULL,26,400,45,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,08-May-2013
4510,MED416,MB Ch. B.,NULL,49,400,36,CAFETERIA ROOF TOP,08:30AM - 10:30AM,23-May-2013
4511,MED406,MB Ch. B.,NULL,49,400,19,LECTURE THEATER,15:30PM - 17:30PM,15-May-2013
4512,THS428,B. A. ( MUS. AND THEATRE STDS.),NULL,15,400,52,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,07-May-2013
4513,ACR410N,BSC. ( AGRIC),NULL,11,400,43,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,21-May-2013
4514,MED404,MB Ch. B.,NULL,49,400,40,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,24-May-2013
4515,EMG405,B. ED. ( MANAGEMENT),NULL,213,400,32,"LARGE LECTURE THEATER ",15:30PM - 17:30PM,15-May-2013
4516,AFS421,B. A. ( AFRICAN STUDIES),NULL,41,400,45,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,24-May-2013
4517,EHS438,B. ED. ( HEALTH SCIENCES),NULL,82,400,32,"LARGE LECTURE THEATER ",12NOON - 14:00PM,16-May-2013
4518,AEC407N,BSC. ( AGRIC),NULL,25,400,17,LECTURE THEATER,15:30PM - 17:30PM,14-May-2013
4519,ESC402,B. ED. ( SCIENCE),NULL,42,400,35,ASSEMBLY HALL,15:30PM - 17:30PM,09-May-2013
4520,EVT434,B. ED. ( HOME ECONS.),NULL,89,400,48,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,23-May-2013
4521,PHL404,B. A. ( ARTS),NULL,20,400,19,LECTURE THEATER,12NOON - 14:00PM,20-May-2013
4522,ECE402,B. ED. ( EARLY CHILDHOOD EDUCATION),NULL,48,400,54,LECTURE THEATER,15:30PM - 17:30PM,22-May-2013
4523,BPS422,B. SC. (PSYCH),NULL,161,400,32,"LARGE LECTURE THEATER ",15:30PM - 17:30PM,13-May-2013
4524,EIN490,B. ED. ( BASIC EDUCATION),NULL,87,400,50,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,13-May-2013
4525,OPT402,OD. ( OPTOMETRY),NULL,12,400,45,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,16-May-2013
4526,LAT410,BSC ( LAB. TECH),NULL,75,400,50,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,21-May-2013
4527,GEO437,B. A. ( SOCIAL SCIENCES),NULL,30,400,52,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,07-May-2013
4528,MED498,MB Ch. B.,NULL,49,400,49,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4529,INF404,BSC ( INFO. TECH.),NULL,37,400,35,ASSEMBLY HALL,15:30PM - 17:30PM,14-May-2013
4530,BCH410,B.SC. ( BIOCHEMISTRY),NULL,30,400,55,LECTURE THEATER,08:30AM - 10:30AM,17-May-2013
4531,EBS409,B. ED. ( BASIC. ED.),NULL,51,400,51,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,10-May-2013
4532,HUB418,BSC ( HUMAN BIOLOGY),NULL,66,400,40,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,10-May-2013
4533,MED408,MB Ch. B.,NULL,49,400,44,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,06-May-2013
4534,BPS424,B. SC. (PSYCH),NULL,50,400,40,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,09-May-2013
4535,ECE406,B. ED. ( EARLY CHILDHOOD EDUCATION),NULL,48,400,48,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,20-May-2013
4536,THS415,B. A. ( MUS. AND THEATRE STDS.),NULL,15,400,10,LECTURE THEATER,15:30PM - 17:30PM,17-May-2013
4537,MED412,MB Ch. B.,NULL,49,400,21,LECTURE THEATER,15:30PM - 17:30PM,13-May-2013
